timestamp,sinr,usedRB,sumSinr,runNumber
3.002,54.0977,100,5409.77,40
3.002,62.8752,100,6287.52,40
3.042,54.0977,100,5409.77,40
3.042,62.8752,100,6287.52,40
3.082,54.0977,100,5409.77,40
3.082,62.8752,100,6287.52,40
3.122,54.0977,100,5409.77,40
3.122,62.8752,100,6287.52,40
3.162,54.0977,100,5409.77,40
3.162,62.8752,100,6287.52,40
3.202,54.0977,100,5409.77,40
3.202,62.8752,100,6287.52,40
3.242,54.0977,100,5409.77,40
3.242,62.8752,100,6287.52,40
3.282,54.0977,100,5409.77,40
3.282,62.8752,100,6287.52,40
3.322,54.0977,100,5409.77,40
3.322,62.8752,100,6287.52,40
3.362,54.0977,100,5409.77,40
3.362,62.8752,100,6287.52,40
3.402,54.0977,100,5409.77,40
3.402,62.8752,100,6287.52,40
3.442,54.0977,100,5409.77,40
3.442,62.8752,100,6287.52,40
3.482,54.0977,100,5409.77,40
3.482,62.8752,100,6287.52,40
3.522,54.0977,100,5409.77,40
3.522,62.8752,100,6287.52,40
3.562,54.0977,100,5409.77,40
3.562,62.8752,100,6287.52,40
3.602,54.0977,100,5409.77,40
3.602,62.8752,100,6287.52,40
3.642,54.0977,100,5409.77,40
3.642,62.8752,100,6287.52,40
3.682,54.0977,100,5409.77,40
3.682,62.8752,100,6287.52,40
3.722,54.0977,100,5409.77,40
3.722,62.8752,100,6287.52,40
3.762,54.0977,100,5409.77,40
3.762,62.8752,100,6287.52,40
3.802,54.0977,100,5409.77,40
3.802,62.8752,100,6287.52,40
3.842,54.0977,100,5409.77,40
3.842,62.8752,100,6287.52,40
3.882,54.0977,100,5409.77,40
3.882,62.8752,100,6287.52,40
3.922,54.0977,100,5409.77,40
3.922,62.8752,100,6287.52,40
3.962,54.0977,100,5409.77,40
3.962,62.8752,100,6287.52,40
4.002,53.2226,100,5322.26,40
4.002,58.9892,100,5898.92,40
4.042,53.5076,100,5350.76,40
4.042,58.8959,100,5889.59,40
4.082,52.9294,100,5292.94,40
4.082,58.8959,100,5889.59,40
4.122,52.9294,100,5292.94,40
4.122,58.8959,100,5889.59,40
4.162,52.9294,100,5292.94,40
4.162,58.8959,100,5889.59,40
4.202,52.9294,100,5292.94,40
4.202,58.8959,100,5889.59,40
4.242,52.9294,100,5292.94,40
4.242,58.8959,100,5889.59,40
4.282,52.9294,100,5292.94,40
4.282,58.8959,100,5889.59,40
4.322,52.9294,100,5292.94,40
4.322,58.8959,100,5889.59,40
4.362,52.9294,100,5292.94,40
4.362,58.8959,100,5889.59,40
4.402,52.9294,100,5292.94,40
4.402,58.8959,100,5889.59,40
4.442,52.9294,100,5292.94,40
4.442,58.8959,100,5889.59,40
4.482,52.9294,100,5292.94,40
4.482,58.8959,100,5889.59,40
4.522,52.9294,100,5292.94,40
4.522,58.8959,100,5889.59,40
4.562,52.9294,100,5292.94,40
4.562,58.8959,100,5889.59,40
4.602,52.9294,100,5292.94,40
4.602,58.8959,100,5889.59,40
4.642,52.9294,100,5292.94,40
4.642,58.8959,100,5889.59,40
4.682,52.9294,100,5292.94,40
4.682,58.8959,100,5889.59,40
4.722,52.9294,100,5292.94,40
4.722,58.8959,100,5889.59,40
4.762,52.9294,100,5292.94,40
4.762,58.8959,100,5889.59,40
4.802,52.9294,100,5292.94,40
4.802,58.8959,100,5889.59,40
4.842,52.9294,100,5292.94,40
4.842,58.8959,100,5889.59,40
4.882,52.9294,100,5292.94,40
4.882,58.8959,100,5889.59,40
4.922,52.9294,100,5292.94,40
4.922,58.8959,100,5889.59,40
4.962,52.9294,100,5292.94,40
4.962,58.8959,100,5889.59,40
5.002,40.9888,100,4098.88,40
5.002,69.7567,100,6975.67,40
5.042,41.7597,100,4175.97,40
5.042,70.385,100,7038.5,40
5.082,41.699,100,4169.9,40
5.082,70.385,100,7038.5,40
5.122,41.699,100,4169.9,40
5.122,70.385,100,7038.5,40
5.162,41.699,100,4169.9,40
5.162,70.385,100,7038.5,40
5.202,41.699,100,4169.9,40
5.202,70.385,100,7038.5,40
5.242,41.699,100,4169.9,40
5.242,70.385,100,7038.5,40
5.282,41.699,100,4169.9,40
5.282,70.385,100,7038.5,40
5.322,41.699,100,4169.9,40
5.322,70.385,100,7038.5,40
5.362,41.699,100,4169.9,40
5.362,70.385,100,7038.5,40
5.402,41.699,100,4169.9,40
5.402,70.385,100,7038.5,40
5.442,41.699,100,4169.9,40
5.442,70.385,100,7038.5,40
5.482,41.699,100,4169.9,40
5.482,70.385,100,7038.5,40
5.522,41.699,100,4169.9,40
5.522,70.385,100,7038.5,40
5.562,41.699,100,4169.9,40
5.562,70.385,100,7038.5,40
5.602,41.699,100,4169.9,40
5.602,70.385,100,7038.5,40
5.642,41.699,100,4169.9,40
5.642,70.385,100,7038.5,40
5.682,41.699,100,4169.9,40
5.682,70.385,100,7038.5,40
5.722,41.699,100,4169.9,40
5.722,70.385,100,7038.5,40
5.762,41.699,100,4169.9,40
5.762,70.385,100,7038.5,40
5.802,41.699,100,4169.9,40
5.802,70.385,100,7038.5,40
5.842,41.699,100,4169.9,40
5.842,70.385,100,7038.5,40
5.882,41.699,100,4169.9,40
5.882,70.385,100,7038.5,40
5.922,41.699,100,4169.9,40
5.922,70.385,100,7038.5,40
5.962,41.699,100,4169.9,40
5.962,70.385,100,7038.5,40
6.002,40.5668,100,4056.68,40
6.002,63.4127,100,6341.27,40
6.042,40.3424,100,4034.24,40
6.042,63.6293,100,6362.93,40
6.082,40.8522,100,4085.22,40
6.082,63.6293,100,6362.93,40
6.122,40.8522,100,4085.22,40
6.122,63.6293,100,6362.93,40
6.162,40.8522,100,4085.22,40
6.162,63.6293,100,6362.93,40
6.202,40.8522,100,4085.22,40
6.202,63.6293,100,6362.93,40
6.242,40.8522,100,4085.22,40
6.242,63.6293,100,6362.93,40
6.282,40.8522,100,4085.22,40
6.282,63.6293,100,6362.93,40
6.322,40.8522,100,4085.22,40
6.322,63.6293,100,6362.93,40
6.362,40.8522,100,4085.22,40
6.362,63.6293,100,6362.93,40
6.402,40.8522,100,4085.22,40
6.402,63.6293,100,6362.93,40
6.442,40.8522,100,4085.22,40
6.442,63.6293,100,6362.93,40
6.482,40.8522,100,4085.22,40
6.482,63.6293,100,6362.93,40
6.522,40.8522,100,4085.22,40
6.522,63.6293,100,6362.93,40
6.562,40.8522,100,4085.22,40
6.562,63.6293,100,6362.93,40
6.602,40.8522,100,4085.22,40
6.602,63.6293,100,6362.93,40
6.642,40.8522,100,4085.22,40
6.642,63.6293,100,6362.93,40
6.682,40.8522,100,4085.22,40
6.682,63.6293,100,6362.93,40
6.722,40.8522,100,4085.22,40
6.722,63.6293,100,6362.93,40
6.762,40.8522,100,4085.22,40
6.762,63.6293,100,6362.93,40
6.802,40.8522,100,4085.22,40
6.802,63.6293,100,6362.93,40
6.842,40.8522,100,4085.22,40
6.842,63.6293,100,6362.93,40
6.882,40.8522,100,4085.22,40
6.882,63.6293,100,6362.93,40
6.922,40.8522,100,4085.22,40
6.922,63.6293,100,6362.93,40
6.962,40.8522,100,4085.22,40
6.962,63.6293,100,6362.93,40
7.002,43.0802,100,4308.02,40
7.002,55.5104,100,5551.04,40
7.042,42.7063,100,4270.63,40
7.042,55.4153,100,5541.53,40
7.082,42.6016,100,4260.16,40
7.082,55.4153,100,5541.53,40
7.122,42.6016,100,4260.16,40
7.122,55.4153,100,5541.53,40
7.162,42.6016,100,4260.16,40
7.162,55.4153,100,5541.53,40
7.202,42.6016,100,4260.16,40
7.202,55.4153,100,5541.53,40
7.242,42.6016,100,4260.16,40
7.242,55.4153,100,5541.53,40
7.282,42.6016,100,4260.16,40
7.282,55.4153,100,5541.53,40
7.322,42.6016,100,4260.16,40
7.322,55.4153,100,5541.53,40
7.362,42.6016,100,4260.16,40
7.362,55.4153,100,5541.53,40
7.402,42.6016,100,4260.16,40
7.402,55.4153,100,5541.53,40
7.442,42.6016,100,4260.16,40
7.442,55.4153,100,5541.53,40
7.482,42.6016,100,4260.16,40
7.482,55.4153,100,5541.53,40
7.522,42.6016,100,4260.16,40
7.522,55.4153,100,5541.53,40
7.562,42.6016,100,4260.16,40
7.562,55.4153,100,5541.53,40
7.602,42.6016,100,4260.16,40
7.602,55.4153,100,5541.53,40
7.642,42.6016,100,4260.16,40
7.642,55.4153,100,5541.53,40
7.682,42.6016,100,4260.16,40
7.682,55.4153,100,5541.53,40
7.722,42.6016,100,4260.16,40
7.722,55.4153,100,5541.53,40
7.762,42.6016,100,4260.16,40
7.762,55.4153,100,5541.53,40
7.802,42.6016,100,4260.16,40
7.802,55.4153,100,5541.53,40
7.842,42.6016,100,4260.16,40
7.842,55.4153,100,5541.53,40
7.882,42.6016,100,4260.16,40
7.882,55.4153,100,5541.53,40
7.922,42.6016,100,4260.16,40
7.922,55.4153,100,5541.53,40
7.962,42.6016,100,4260.16,40
7.962,55.4153,100,5541.53,40
8.002,38.35,100,3835,40
8.002,48.3691,100,4836.91,40
8.042,38.6866,100,3868.66,40
8.042,48.3225,100,4832.25,40
8.082,38.6521,100,3865.21,40
8.082,48.3225,100,4832.25,40
8.122,38.6521,100,3865.21,40
8.122,48.3225,100,4832.25,40
8.162,38.6521,100,3865.21,40
8.162,48.3225,100,4832.25,40
8.202,38.6521,100,3865.21,40
8.202,48.3225,100,4832.25,40
8.242,38.6521,100,3865.21,40
8.242,48.3225,100,4832.25,40
8.282,38.6521,100,3865.21,40
8.282,48.3225,100,4832.25,40
8.322,38.6521,100,3865.21,40
8.322,48.3225,100,4832.25,40
8.362,38.6521,100,3865.21,40
8.362,48.3225,100,4832.25,40
8.402,38.6521,100,3865.21,40
8.402,48.3225,100,4832.25,40
8.442,38.6521,100,3865.21,40
8.442,48.3225,100,4832.25,40
8.482,38.6521,100,3865.21,40
8.482,48.3225,100,4832.25,40
8.522,38.6521,100,3865.21,40
8.522,48.3225,100,4832.25,40
8.562,38.6521,100,3865.21,40
8.562,48.3225,100,4832.25,40
8.602,38.6521,100,3865.21,40
8.602,48.3225,100,4832.25,40
8.642,38.6521,100,3865.21,40
8.642,48.3225,100,4832.25,40
8.682,38.6521,100,3865.21,40
8.682,48.3225,100,4832.25,40
8.722,38.6521,100,3865.21,40
8.722,48.3225,100,4832.25,40
8.762,38.6521,100,3865.21,40
8.762,48.3225,100,4832.25,40
8.802,38.6521,100,3865.21,40
8.802,48.3225,100,4832.25,40
8.842,38.6521,100,3865.21,40
8.842,48.3225,100,4832.25,40
8.882,38.6521,100,3865.21,40
8.882,48.3225,100,4832.25,40
8.922,38.6521,100,3865.21,40
8.922,48.3225,100,4832.25,40
8.962,38.6521,100,3865.21,40
8.962,48.3225,100,4832.25,40
9.002,34.829,100,3482.9,40
9.002,61.1215,100,6112.15,40
9.042,35.7748,100,3577.48,40
9.042,60.752,100,6075.2,40
9.082,35.498,100,3549.8,40
9.082,60.752,100,6075.2,40
9.122,35.498,100,3549.8,40
9.122,60.752,100,6075.2,40
9.162,35.498,100,3549.8,40
9.162,60.752,100,6075.2,40
9.202,35.498,100,3549.8,40
9.202,60.752,100,6075.2,40
9.242,35.498,100,3549.8,40
9.242,60.752,100,6075.2,40
9.282,35.498,100,3549.8,40
9.282,60.752,100,6075.2,40
9.322,35.498,100,3549.8,40
9.322,60.752,100,6075.2,40
9.362,35.498,100,3549.8,40
9.362,60.752,100,6075.2,40
9.402,35.498,100,3549.8,40
9.402,60.752,100,6075.2,40
9.442,35.498,100,3549.8,40
9.442,60.752,100,6075.2,40
9.482,35.498,100,3549.8,40
9.482,60.752,100,6075.2,40
9.522,35.498,100,3549.8,40
9.522,60.752,100,6075.2,40
9.562,35.498,100,3549.8,40
9.562,60.752,100,6075.2,40
9.602,35.498,100,3549.8,40
9.602,60.752,100,6075.2,40
9.642,35.498,100,3549.8,40
9.642,60.752,100,6075.2,40
9.682,35.498,100,3549.8,40
9.682,60.752,100,6075.2,40
9.722,35.498,100,3549.8,40
9.722,60.752,100,6075.2,40
9.762,35.498,100,3549.8,40
9.762,60.752,100,6075.2,40
9.802,35.498,100,3549.8,40
9.802,60.752,100,6075.2,40
9.842,35.498,100,3549.8,40
9.842,60.752,100,6075.2,40
9.882,35.498,100,3549.8,40
9.882,60.752,100,6075.2,40
9.922,35.498,100,3549.8,40
9.922,60.752,100,6075.2,40
9.962,35.498,100,3549.8,40
9.962,60.752,100,6075.2,40
10.002,30.6408,100,3064.08,40
10.002,57.7751,100,5777.51,40
10.042,29.8307,100,2983.07,40
10.042,58.0439,100,5804.39,40
10.082,29.9471,100,2994.71,40
10.082,58.0439,100,5804.39,40
10.122,29.9471,100,2994.71,40
10.122,58.0439,100,5804.39,40
10.162,29.9471,100,2994.71,40
10.162,58.0439,100,5804.39,40
10.202,29.9471,100,2994.71,40
10.202,58.0439,100,5804.39,40
10.242,29.9471,100,2994.71,40
10.242,58.0439,100,5804.39,40
10.282,29.9471,100,2994.71,40
10.282,58.0439,100,5804.39,40
10.322,29.9471,100,2994.71,40
10.322,58.0439,100,5804.39,40
10.362,29.9471,100,2994.71,40
10.362,58.0439,100,5804.39,40
10.402,29.9471,100,2994.71,40
10.402,58.0439,100,5804.39,40
10.442,29.9471,100,2994.71,40
10.442,58.0439,100,5804.39,40
10.482,29.9471,100,2994.71,40
10.482,58.0439,100,5804.39,40
10.522,29.9471,100,2994.71,40
10.522,58.0439,100,5804.39,40
10.562,29.9471,100,2994.71,40
10.562,58.0439,100,5804.39,40
10.602,29.9471,100,2994.71,40
10.602,58.0439,100,5804.39,40
10.642,29.9471,100,2994.71,40
10.642,58.0439,100,5804.39,40
10.682,29.9471,100,2994.71,40
10.682,58.0439,100,5804.39,40
10.722,29.9471,100,2994.71,40
10.722,58.0439,100,5804.39,40
10.762,29.9471,100,2994.71,40
10.762,58.0439,100,5804.39,40
10.802,29.9471,100,2994.71,40
10.802,58.0439,100,5804.39,40
10.842,29.9471,100,2994.71,40
10.842,58.0439,100,5804.39,40
10.882,29.9471,100,2994.71,40
10.882,58.0439,100,5804.39,40
10.922,29.9471,100,2994.71,40
