timestamp,arrivalTime,ueAppAddress,ueAppPort,car,recv_packet_size(B),uplink_delay(s),Queueing_delay(s),processing_delay(s),idframe,nbSentMsg,runNumber,sizeOfQueue
3.2570108244,3.2570108244,10.0.1.106,4000,car[0],52800,0.0030082556,0,0.0041096,1,0,40,1
3.3590102716,3.3590102716,10.0.1.106,4000,car[0],22509,0.0010077028,0,3.39617e-06,2,1,40,1
3.4610053644,3.4610053644,10.0.1.106,4000,car[0],46227,0.0030027956,0,0.000371223,3,2,40,1
3.56201035,3.56201035,10.0.1.106,4000,car[0],65527,0.0040077812,0,0.00598232,4,3,40,1
3.6580094532,3.6580094532,10.0.1.106,4000,car[0],8229,0.0000068844,0,0.00123585,5,4,40,1
3.7580028812,3.7580028812,10.0.1.106,4000,car[0],1079,0.0000009412,0,0.00321773,6,5,40,1
3.8610083044,3.8610083044,10.0.1.106,4000,car[0],49776,0.0030057356,0,0.000289793,7,6,40,1
3.9610072468,3.9610072468,10.0.1.106,4000,car[0],48517,0.003004678,0,0.00260107,8,7,40,1
4.0610116484,4.0610116484,10.0.1.106,4000,car[0],53767,0.0030090796,0,0.000322078,9,8,40,1
4.1600067724,4.1600067724,10.0.1.106,4000,car[0],33124,0.0020042036,0,0.00474861,10,9,40,1
4.2600122404,4.2600122404,10.0.1.106,4000,car[0],39707,0.0020096716,0,0.000166133,11,10,40,1
4.3580097084,4.3580097084,10.0.1.106,4000,car[0],8548,0.0000071396,0,0.00116118,12,11,40,1
4.4610050044,4.4610050044,10.0.1.106,4000,car[0],45838,0.0030024356,0,0.000142042,13,12,40,1
4.5600093708,4.5600093708,10.0.1.106,4000,car[0],36246,0.002006802,0,0.000762887,14,13,40,1
4.66201035,4.66201035,10.0.1.106,4000,car[0],65527,0.0040077812,0,6.78656e-05,15,14,40,1
4.7610054452,4.7610054452,10.0.1.106,4000,car[0],46328,0.0030028764,0,8.78946e-05,16,15,40,1
4.86201035,4.86201035,10.0.1.106,4000,car[0],65527,0.0040077812,0,0.000531077,17,16,40,1
4.96201035,4.96201035,10.0.1.106,4000,car[0],65527,0.0040077812,0,0.000830306,18,17,40,1
5.06201035,5.06201035,10.0.1.106,4000,car[0],65527,0.0040077812,0,0.00282894,19,18,40,1
5.16201035,5.16201035,10.0.1.106,4000,car[0],65527,0.0040077812,0,0.00133478,20,19,40,1
5.2610053132,5.2610053132,10.0.1.106,4000,car[0],46163,0.0030027444,0,0.00497848,21,20,40,1
5.3590092484,5.3590092484,10.0.1.106,4000,car[0],21293,0.0010066796,0,7.52936e-05,22,21,40,1
5.46201035,5.46201035,10.0.1.106,4000,car[0],65527,0.0040077812,0,8.29832e-05,23,22,40,1
5.5600120068,5.5600120068,10.0.1.106,4000,car[0],39415,0.002009438,0,0.000380365,24,23,40,1
5.6580095852,5.6580095852,10.0.1.106,4000,car[0],8394,0.0000070164,0,0.000219047,25,24,40,1
5.7600081732,5.7600081732,10.0.1.106,4000,car[0],34812,0.0020056044,0,0.0037994,26,25,40,1
5.8580104196,5.8580104196,10.0.1.106,4000,car[0],9374,0.0000078508,0,0.00028374,27,26,40,1
5.96201035,5.96201035,10.0.1.106,4000,car[0],65527,0.0040077812,0,0.000485947,28,27,40,1
6.0620115844,6.0620115844,10.0.1.106,4000,car[0],65527,0.0040090156,0,0.00239663,29,28,40,1
6.1590048508,6.1590048508,10.0.1.106,4000,car[0],16048,0.001002282,0,0.00259342,30,29,40,1
6.26201035,6.26201035,10.0.1.106,4000,car[0],65527,0.0040077812,0,0.000531671,31,30,40,1
6.3580081884,6.3580081884,10.0.1.106,4000,car[0],6711,0.0000056196,0,0.000783941,32,31,40,1
6.4580142124,6.4580142124,10.0.1.106,4000,car[0],13926,0.0000116436,0,0.000451819,33,32,40,1
6.5610068868,6.5610068868,10.0.1.106,4000,car[0],48067,0.003004318,0,0.00483806,34,33,40,1
6.6600143612,6.6600143612,10.0.1.106,4000,car[0],42232,0.0020117924,0,0.000792488,35,34,40,1
6.7610109068,6.7610109068,10.0.1.106,4000,car[0],52903,0.003008338,0,0.00140004,36,35,40,1
6.8580094092,6.8580094092,10.0.1.106,4000,car[0],8174,0.0000068404,0,0.000821816,37,36,40,1
6.9580077684,6.9580077684,10.0.1.106,4000,car[0],6186,0.0000051996,0,0.00224038,38,37,40,1
7.0590078332,7.0590078332,10.0.1.106,4000,car[0],19587,0.0010052644,0,0.000326817,39,38,40,1
7.1600074988,7.1600074988,10.0.1.106,4000,car[0],34014,0.00200493,0,0.00129431,40,39,40,1
7.26201035,7.26201035,10.0.1.106,4000,car[0],65527,0.0040077812,0,0.00151025,41,40,40,1
7.3600054692,7.3600054692,10.0.1.106,4000,car[0],31558,0.0020029004,0,0.00478707,42,41,40,1
7.4590072836,7.4590072836,10.0.1.106,4000,car[0],18963,0.0010047148,0,0.000443463,43,42,40,1
7.56201035,7.56201035,10.0.1.106,4000,car[0],65527,0.0040077812,0,0.000993145,44,43,40,1
7.6580033996,7.6580033996,10.0.1.106,4000,car[0],1295,0.000001114,0,0.000896912,45,44,40,1
