timestamp,sinr,usedRB,sumSinr,runNumber
3.006,53.0209,1,53.0209,40
3.011,65.4921,1,65.4921,40
3.02,53.0209,1,53.0209,40
3.105,53.0209,1,53.0209,40
3.111,53.0209,1,53.0209,40
3.116,65.3007,2,130.601,40
3.125,53.0209,1,53.0209,40
3.131,48.6617,2,97.3234,40
3.136,65.4921,1,65.4921,40
3.236,65.3409,3,196.023,40
3.245,53.0209,1,53.0209,40
3.251,54.0977,100,5409.77,40
3.252,54.0977,100,5409.77,40
3.253,54.0977,100,5409.77,40
3.254,53.5919,69,3697.84,40
3.263,65.3409,3,196.023,40
3.349,53.0209,1,53.0209,40
3.355,54.0977,100,5409.77,40
3.356,53.2552,57,3035.55,40
3.361,65.3409,3,196.023,40
3.449,53.0209,1,53.0209,40
3.455,54.0977,100,5409.77,40
3.456,54.0977,100,5409.77,40
3.457,54.0977,100,5409.77,40
3.458,51.9316,23,1194.43,40
3.463,65.3409,3,196.023,40
3.549,53.0209,1,53.0209,40
3.555,54.0977,100,5409.77,40
3.556,54.0977,100,5409.77,40
3.557,54.0977,100,5409.77,40
3.558,54.0977,100,5409.77,40
3.559,53.195,58,3085.31,40
3.569,65.3409,3,196.023,40
3.649,53.0209,1,53.0209,40
3.655,53.2552,57,3035.55,40
3.661,65.3409,3,196.023,40
3.749,53.0209,1,53.0209,40
3.755,49.0154,7,343.108,40
3.763,65.3409,3,196.023,40
3.849,53.0209,1,53.0209,40
3.855,54.0977,100,5409.77,40
3.856,54.0977,100,5409.77,40
3.857,54.0977,100,5409.77,40
3.858,53.4661,48,2566.37,40
3.863,65.3409,3,196.023,40
3.949,53.0209,1,53.0209,40
3.955,54.0977,100,5409.77,40
3.956,54.0977,100,5409.77,40
3.957,54.0977,100,5409.77,40
3.958,52.7383,39,2056.79,40
3.965,65.3409,3,196.023,40
4.049,51.8525,1,51.8525,40
4.055,52.9294,100,5292.94,40
4.056,52.9294,100,5292.94,40
4.057,52.9294,100,5292.94,40
4.058,52.3036,76,3975.07,40
4.063,60.8683,3,182.605,40
4.149,51.8525,1,51.8525,40
4.155,52.9294,100,5292.94,40
4.156,52.9294,100,5292.94,40
4.157,51.3769,31,1592.68,40
4.166,58.7999,3,176.4,40
4.249,51.8525,1,51.8525,40
4.255,52.9294,100,5292.94,40
4.256,52.9294,100,5292.94,40
4.257,52.3521,77,4031.11,40
4.262,61.3618,3,184.085,40
4.349,51.8525,1,51.8525,40
4.355,52.0233,59,3069.37,40
4.361,61.3618,3,184.085,40
4.449,51.8525,1,51.8525,40
4.455,52.9294,100,5292.94,40
4.456,52.9294,100,5292.94,40
4.457,52.9294,100,5292.94,40
4.458,50.9155,20,1018.31,40
4.463,61.3618,3,184.085,40
4.549,51.8525,1,51.8525,40
4.555,52.9294,100,5292.94,40
4.556,52.9294,100,5292.94,40
4.557,52.1783,53,2765.45,40
4.562,61.3618,3,184.085,40
4.649,51.8525,1,51.8525,40
4.655,52.9294,100,5292.94,40
4.656,52.9294,100,5292.94,40
4.657,52.9294,100,5292.94,40
4.658,52.9294,100,5292.94,40
4.659,52.0266,58,3017.54,40
4.664,61.3618,3,184.085,40
4.749,51.8525,1,51.8525,40
4.755,52.9294,100,5292.94,40
4.756,52.9294,100,5292.94,40
4.757,52.9294,100,5292.94,40
4.758,51.0989,24,1226.37,40
4.763,61.3618,3,184.085,40
4.849,51.8525,1,51.8525,40
4.855,52.9294,100,5292.94,40
4.856,52.9294,100,5292.94,40
4.857,52.9294,100,5292.94,40
4.858,52.9294,100,5292.94,40
4.859,52.0266,58,3017.54,40
4.864,61.3618,3,184.085,40
4.949,51.8525,1,51.8525,40
4.955,52.9294,100,5292.94,40
4.956,52.9294,100,5292.94,40
4.957,52.9294,100,5292.94,40
4.958,52.9294,100,5292.94,40
4.959,52.0266,58,3017.54,40
4.964,61.3618,3,184.085,40
5.049,40.6221,1,40.6221,40
5.055,41.699,100,4169.9,40
5.056,41.699,100,4169.9,40
5.057,41.699,100,4169.9,40
5.058,41.699,100,4169.9,40
5.059,40.7962,58,2366.18,40
5.066,72.071,3,216.213,40
5.149,40.6221,1,40.6221,40
5.155,41.699,100,4169.9,40
5.156,41.699,100,4169.9,40
5.157,41.699,100,4169.9,40
5.158,41.699,100,4169.9,40
5.159,40.7962,58,2366.18,40
5.165,61.2618,3,183.785,40
5.249,40.6221,1,40.6221,40
5.255,41.699,100,4169.9,40
5.256,41.699,100,4169.9,40
5.257,41.699,100,4169.9,40
5.258,39.5328,23,909.255,40
5.267,72.8509,3,218.553,40
5.349,40.6221,1,40.6221,40
5.355,41.699,100,4169.9,40
5.356,40.9596,49,2007.02,40
5.361,72.8509,3,218.553,40
5.449,40.6221,1,40.6221,40
5.455,41.699,100,4169.9,40
5.456,41.699,100,4169.9,40
5.457,41.699,100,4169.9,40
5.458,41.699,100,4169.9,40
5.459,40.7962,58,2366.18,40
5.464,72.8509,3,218.553,40
5.549,40.6221,1,40.6221,40
5.555,41.699,100,4169.9,40
5.556,41.699,100,4169.9,40
5.557,40.9918,75,3074.39,40
5.562,72.8509,3,218.553,40
5.649,40.6221,1,40.6221,40
5.655,40.7962,58,2366.18,40
5.66,72.8509,3,218.553,40
5.749,40.6221,1,40.6221,40
5.755,41.699,100,4169.9,40
5.756,41.699,100,4169.9,40
5.757,40.9076,43,1759.03,40
5.765,72.8509,3,218.553,40
5.849,40.6221,1,40.6221,40
5.855,41.0598,65,2668.89,40
5.86,72.8509,3,218.553,40
5.949,40.6221,1,40.6221,40
5.955,41.699,100,4169.9,40
5.956,41.699,100,4169.9,40
5.957,41.699,100,4169.9,40
5.958,41.699,100,4169.9,40
5.959,40.7962,58,2366.18,40
5.964,72.8509,3,218.553,40
6.049,39.7753,1,39.7753,40
6.055,40.8522,100,4085.22,40
6.056,40.8522,100,4085.22,40
6.057,40.8522,100,4085.22,40
6.058,40.8522,100,4085.22,40
6.059,40.2875,71,2860.41,40
6.066,66.3487,3,199.046,40
6.149,39.7753,1,39.7753,40
6.155,40.8522,100,4085.22,40
6.156,37.8433,12,454.12,40
6.163,64.7315,3,194.194,40
6.249,39.7753,1,39.7753,40
6.255,40.8522,100,4085.22,40
6.256,40.8522,100,4085.22,40
6.257,40.8522,100,4085.22,40
6.258,40.8522,100,4085.22,40
6.259,39.9494,58,2317.07,40
6.264,66.0953,3,198.286,40
6.349,39.7753,1,39.7753,40
6.355,40.1744,47,1888.2,40
6.36,66.0953,3,198.286,40
6.449,39.7753,1,39.7753,40
6.455,40.9024,97,3967.53,40
6.46,66.0953,3,198.286,40
6.549,39.7753,1,39.7753,40
6.555,40.8522,100,4085.22,40
6.556,40.8522,100,4085.22,40
6.557,40.8522,100,4085.22,40
6.558,39.328,36,1415.81,40
6.567,66.0953,3,198.286,40
6.649,39.7753,1,39.7753,40
6.655,40.8522,100,4085.22,40
6.656,40.8522,100,4085.22,40
6.657,40.8568,95,3881.39,40
6.662,66.0953,3,198.286,40
6.749,39.7753,1,39.7753,40
6.755,40.8522,100,4085.22,40
6.756,40.8522,100,4085.22,40
6.757,40.8522,100,4085.22,40
6.758,40.2641,70,2818.49,40
