timestamp,sinr,usedRB,sumSinr,runNumber
3.006,52.8883,1,52.8883,7
3.011,60.6632,1,60.6632,7
3.02,52.8883,1,52.8883,7
3.105,52.8883,1,52.8883,7
3.111,52.8883,1,52.8883,7
3.116,58.6804,2,117.361,7
3.125,52.8883,1,52.8883,7
3.131,48.5291,2,97.0582,7
3.136,60.6632,1,60.6632,7
3.236,61.9554,3,185.866,7
3.245,52.8883,1,52.8883,7
3.251,54.3209,150,8148.13,7
3.252,54.3209,150,8148.13,7
3.253,54.3209,150,8148.13,7
3.254,50.1486,8,401.189,7
3.26,61.9554,3,185.866,7
3.349,52.8883,1,52.8883,7
3.355,53.3202,55,2932.61,7
3.362,61.9554,3,185.866,7
3.449,52.8883,1,52.8883,7
3.455,50.1486,8,401.189,7
3.46,61.9554,3,185.866,7
3.549,52.8883,1,52.8883,7
3.555,54.3209,150,8148.13,7
3.556,51.0161,9,459.145,7
3.561,61.9554,3,185.866,7
3.649,52.8883,1,52.8883,7
3.655,54.1676,120,6500.11,7
3.661,61.9554,3,185.866,7
3.749,52.8883,1,52.8883,7
3.755,53.221,54,2873.94,7
3.761,61.9554,3,185.866,7
3.849,52.8883,1,52.8883,7
3.855,51.3905,10,513.905,7
3.86,61.9554,3,185.866,7
3.949,52.8883,1,52.8883,7
3.955,51.5187,15,772.78,7
3.969,61.9554,3,185.866,7
4.049,28.7934,1,28.7934,7
4.055,30.4668,139,4234.88,7
4.064,64.2353,3,192.706,7
4.149,28.7934,1,28.7934,7
4.155,30.7261,143,4393.84,7
4.156,30.7261,143,4393.84,7
4.157,28.0051,4,112.021,7
4.168,61.7778,3,185.333,7
4.249,28.7934,1,28.7934,7
4.255,30.7261,143,4393.84,7
4.256,30.7261,143,4393.84,7
4.257,30.7127,134,4115.51,7
4.263,30.152,134,4040.36,7
4.279,67.3187,3,201.956,7
4.349,28.7934,1,28.7934,7
4.355,30.7261,143,4393.84,7
4.356,30.7261,143,4393.84,7
4.357,30.6932,133,4082.2,7
4.367,67.3187,3,201.956,7
4.449,28.7934,1,28.7934,7
4.455,29.9642,63,1887.74,7
4.466,67.3187,3,201.956,7
4.549,28.7934,1,28.7934,7
4.555,29.7548,43,1279.46,7
4.566,67.3187,3,201.956,7
4.649,28.7934,1,28.7934,7
4.655,27.5001,3,82.5004,7
4.666,67.3187,3,201.956,7
4.749,28.7934,1,28.7934,7
4.755,30.4353,110,3347.88,7
4.76,67.3187,3,201.956,7
4.849,28.7934,1,28.7934,7
4.855,30.7261,143,4393.84,7
4.856,30.7261,143,4393.84,7
4.857,30.3482,85,2579.6,7
4.867,67.3187,3,201.956,7
4.949,28.7934,1,28.7934,7
4.955,30.7261,143,4393.84,7
4.956,30.4128,101,3071.69,7
4.969,67.3187,3,201.956,7
5.049,34.1436,1,34.1436,7
5.055,34.3898,51,1753.88,7
5.063,56.7572,3,170.271,7
5.149,34.1436,1,34.1436,7
5.155,35.5762,150,5336.44,7
5.156,35.5762,150,5336.44,7
5.157,34.0872,40,1363.49,7
5.176,54.4459,3,163.338,7
5.249,34.1436,1,34.1436,7
5.255,35.5762,150,5336.44,7
5.256,33.5899,32,1074.88,7
5.261,56.439,3,169.317,7
5.349,34.1436,1,34.1436,7
5.355,32.6508,14,457.111,7
5.361,56.439,3,169.317,7
5.449,34.1436,1,34.1436,7
5.455,35.5762,150,5336.44,7
5.456,35.6145,142,5057.26,7
5.463,56.439,3,169.317,7
5.549,34.1436,1,34.1436,7
5.555,35.5762,150,5336.44,7
5.556,35.5762,150,5336.44,7
5.557,35.5762,150,5336.44,7
5.558,33.1541,21,696.235,7
