timestamp,arrivalTime,ueAppAddress,ueAppPort,car,recv_packet_size(B),uplink_delay(s),Queueing_delay(s),processing_delay(s),idframe,nbSentMsg,runNumber,sizeOfQueue
3.26300389,3.26300389,10.0.1.106,4000,car[0],65167,0.0090013212,0,0.0102782,1,0,1,1
3.367004178,3.367004178,10.0.1.106,4000,car[0],65527,0.0090016092,0,0.00321998,2,1,1,1
3.4590044268,3.4590044268,10.0.1.106,4000,car[0],8118,0.001001858,0,0.00225557,3,2,1,1
3.567004178,3.567004178,10.0.1.106,4000,car[0],65527,0.0090016092,0,0.00363136,4,3,1,1
3.6660056692,3.6660056692,10.0.1.106,4000,car[0],59928,0.0080031004,0,0.0024178,5,4,1,1
3.764003738,3.764003738,10.0.1.106,4000,car[0],44356,0.0060011692,0,0.0011088,6,5,1,1
3.858006514,3.858006514,10.0.1.106,4000,car[0],4681,0.0000039452,0,5.10844e-05,7,6,1,1
3.96200421,3.96200421,10.0.1.106,4000,car[0],30047,0.0040016412,0,0.00439421,8,7,1,1
4.067004178,4.067004178,10.0.1.106,4000,car[0],65527,0.0090016092,0,0.00246393,9,8,1,1
4.1590064508,4.1590064508,10.0.1.106,4000,car[0],10522,0.001003882,0,0.00273464,10,9,1,1
4.2580077148,4.2580077148,10.0.1.106,4000,car[0],6119,0.000005146,0,0.000609576,11,10,1,1
4.36000727,4.36000727,10.0.1.106,4000,car[0],18946,0.0020047012,0,0.00097632,12,11,1,1
4.4640081996,4.4640081996,10.0.1.106,4000,car[0],49645,0.0060056308,0,0.000867954,13,12,1,1
4.5610039956,4.5610039956,10.0.1.106,4000,car[0],22379,0.0030014268,0,0.00954223,14,13,1,1
4.6620055524,4.6620055524,10.0.1.106,4000,car[0],31662,0.0040029836,0,0.000890851,15,14,1,1
4.7620018036,4.7620018036,10.0.1.106,4000,car[0],28750,0.0039992348,0,0.000404402,16,15,1,1
4.858005142,4.858005142,10.0.1.106,4000,car[0],3029,0.0000025732,0,0.00485511,17,16,1,1
4.9580027324,4.9580027324,10.0.1.106,4000,car[0],1017,0.0000008916,0,0.000796805,18,17,1,1
5.0620032532,5.0620032532,10.0.1.106,4000,car[0],29354,0.0040006844,0,0.00163314,19,18,1,1
5.167004178,5.167004178,10.0.1.106,4000,car[0],65527,0.0090016092,0,0.00495874,20,19,1,1
5.2590077044,5.2590077044,10.0.1.106,4000,car[0],12026,0.0010051356,0,0.00240114,21,20,1,1
5.358004466,5.358004466,10.0.1.106,4000,car[0],2247,0.0000018972,0,0.00679675,22,21,1,1
5.4620069924,5.4620069924,10.0.1.106,4000,car[0],33399,0.0040044236,0,0.000908541,23,22,1,1
5.5590090884,5.5590090884,10.0.1.106,4000,car[0],13693,0.0010065196,0,0.00119023,24,23,1,1
5.6620042692,5.6620042692,10.0.1.106,4000,car[0],30121,0.0040017004,0,0.00230137,25,24,1,1
5.7590058668,5.7590058668,10.0.1.106,4000,car[0],9855,0.001003298,0,0.00696993,26,25,1,1
5.8610030708,5.8610030708,10.0.1.106,4000,car[0],21878,0.003000502,0,0.000972004,27,26,1,1
5.967004178,5.967004178,10.0.1.106,4000,car[0],65527,0.0090016092,0,0.0032737,28,27,1,1
6.064005346,6.064005346,10.0.1.106,4000,car[0],46204,0.0060027772,0,0.00533765,29,28,1,1
