timestamp,sinr,usedRB,sumSinr,runNumber
3.006,35.2676,1,35.2676,30
3.011,39.024,1,39.024,30
3.02,35.2676,1,35.2676,30
3.105,35.2676,1,35.2676,30
3.111,35.2676,1,35.2676,30
3.116,41.3295,2,82.6591,30
3.125,35.2676,1,35.2676,30
3.131,33.7701,2,67.5401,30
3.136,39.024,1,39.024,30
3.236,43.8149,4,175.259,30
3.245,35.2676,1,35.2676,30
3.251,32.8697,96,3155.49,30
3.252,33.0317,93,3071.95,30
3.258,44.066,3,132.198,30
3.349,35.2676,1,35.2676,30
3.355,32.8697,96,3155.49,30
3.356,32.8697,96,3155.49,30
3.357,32.8697,96,3155.49,30
3.358,32.8697,96,3155.49,30
3.359,33.0014,87,2871.12,30
3.365,44.066,3,132.198,30
3.449,35.2676,1,35.2676,30
3.455,33.4217,23,768.7,30
3.46,44.066,3,132.198,30
3.549,35.2676,1,35.2676,30
3.555,32.8697,96,3155.49,30
3.556,32.9734,83,2736.79,30
3.561,44.066,3,132.198,30
3.649,35.2676,1,35.2676,30
3.655,32.8697,96,3155.49,30
3.656,32.8697,96,3155.49,30
3.657,32.8697,96,3155.49,30
3.658,32.8697,96,3155.49,30
3.659,33.0014,87,2871.12,30
3.664,44.066,3,132.198,30
3.749,35.2676,1,35.2676,30
3.755,32.8697,96,3155.49,30
3.756,32.8697,96,3155.49,30
3.757,33.1946,44,1460.56,30
3.764,44.066,3,132.198,30
3.849,35.2676,1,35.2676,30
3.855,32.8697,96,3155.49,30
3.861,44.066,3,132.198,30
3.949,35.2676,1,35.2676,30
3.955,32.8697,96,3155.49,30
3.956,32.8697,96,3155.49,30
3.957,32.8697,96,3155.49,30
3.958,32.8697,96,3155.49,30
3.959,33.0014,87,2871.12,30
3.965,44.066,3,132.198,30
4.049,41.9186,1,41.9186,30
4.055,39.021,99,3863.08,30
4.056,39.021,99,3863.08,30
4.057,39.021,99,3863.08,30
4.058,39.2482,84,3296.85,30
4.065,44.5193,3,133.558,30
4.149,41.9186,1,41.9186,30
4.155,39.0067,100,3900.67,30
4.156,39.0067,100,3900.67,30
4.157,39.0067,100,3900.67,30
4.158,39.0067,100,3900.67,30
4.159,39.3906,71,2796.73,30
4.169,43.698,3,131.094,30
4.249,41.9186,1,41.9186,30
4.255,39.1382,96,3757.27,30
4.262,43.58,3,130.74,30
4.349,41.9186,1,41.9186,30
4.355,39.3842,50,1969.21,30
4.363,43.58,3,130.74,30
4.449,41.9186,1,41.9186,30
4.455,39.0067,100,3900.67,30
4.456,39.0067,100,3900.67,30
4.457,39.0067,100,3900.67,30
4.458,39.1675,86,3368.41,30
4.468,43.58,3,130.74,30
4.549,41.9186,1,41.9186,30
4.555,39.3892,75,2954.19,30
4.562,43.58,3,130.74,30
4.649,41.9186,1,41.9186,30
4.655,39.0067,100,3900.67,30
4.656,39.3054,66,2594.16,30
4.662,43.58,3,130.74,30
4.749,41.9186,1,41.9186,30
4.755,39.0067,100,3900.67,30
4.756,39.1461,97,3797.17,30
4.766,43.58,3,130.74,30
4.849,41.9186,1,41.9186,30
4.855,39.0067,100,3900.67,30
4.856,39.0067,100,3900.67,30
4.857,39.3026,12,471.631,30
4.862,43.58,3,130.74,30
4.949,41.9186,1,41.9186,30
4.955,39.0067,100,3900.67,30
4.956,39.0067,100,3900.67,30
4.957,39.0067,100,3900.67,30
4.958,39.0067,100,3900.67,30
4.959,39.3548,65,2558.06,30
4.967,43.58,3,130.74,30
5.049,32.428,1,32.428,30
5.055,29.4357,93,2737.52,30
5.056,29.4357,93,2737.52,30
5.057,29.4357,93,2737.52,30
5.058,29.4357,93,2737.52,30
5.059,29.4357,93,2737.52,30
5.06,28.6803,6,172.082,30
5.061,29.8207,93,2773.33,30
5.062,29.8207,93,2773.33,30
5.063,29.8207,93,2773.33,30
5.065,29.8207,93,2773.33,30
5.074,34.5842,3,103.753,30
5.149,32.428,1,32.428,30
5.155,30.4766,92,2803.85,30
5.156,30.4766,92,2803.85,30
5.157,30.4766,92,2803.85,30
5.158,30.4766,92,2803.85,30
5.159,30.4766,92,2803.85,30
5.16,29.8532,11,328.385,30
5.165,29.8042,92,2741.99,30
5.171,29.8042,92,2741.99,30
5.177,37.7498,3,113.249,30
5.249,32.428,1,32.428,30
5.255,30.4766,92,2803.85,30
5.256,30.4766,92,2803.85,30
5.257,30.4766,92,2803.85,30
5.258,30.4766,92,2803.85,30
5.259,30.4766,92,2803.85,30
5.26,29.8532,11,328.385,30
5.275,37.7318,3,113.195,30
5.349,32.428,1,32.428,30
5.355,30.4766,92,2803.85,30
5.356,28.2985,3,84.8954,30
5.362,37.7318,3,113.195,30
5.449,32.428,1,32.428,30
5.455,30.7347,86,2643.18,30
5.46,37.7318,3,113.195,30
5.549,32.428,1,32.428,30
5.555,30.4766,92,2803.85,30
5.556,30.4766,92,2803.85,30
5.557,30.4766,92,2803.85,30
5.558,30.4766,92,2803.85,30
5.559,30.4766,92,2803.85,30
5.56,29.8532,11,328.385,30
5.568,37.7318,3,113.195,30
5.649,32.428,1,32.428,30
5.655,30.4766,92,2803.85,30
5.656,30.4766,92,2803.85,30
5.657,30.4766,92,2803.85,30
5.658,30.4766,92,2803.85,30
5.659,30.4766,92,2803.85,30
5.66,29.8532,11,328.385,30
5.666,37.7318,3,113.195,30
5.749,32.428,1,32.428,30
5.755,30.4766,92,2803.85,30
5.756,30.4766,92,2803.85,30
5.757,30.3859,56,1701.61,30
5.762,37.7318,3,113.195,30
5.849,32.428,1,32.428,30
5.855,30.4766,92,2803.85,30
5.856,30.4766,92,2803.85,30
5.857,30.6606,76,2330.21,30
5.866,37.7318,3,113.195,30
5.949,32.428,1,32.428,30
5.955,30.4766,92,2803.85,30
5.956,30.4766,92,2803.85,30
5.957,30.4766,92,2803.85,30
5.958,30.4766,92,2803.85,30
5.959,30.4766,92,2803.85,30
5.96,29.8532,11,328.385,30
5.968,37.7318,3,113.195,30
6.049,38.4232,1,38.4232,30
6.055,35.5039,99,3514.89,30
6.056,35.9259,69,2478.89,30
6.062,58.1938,3,174.581,30
6.149,38.4232,1,38.4232,30
