timestamp,sinr,usedRB,sumSinr,runNumber
3.006,52.9296,1,52.9296,31
3.011,65.4008,1,65.4008,31
3.02,52.9296,1,52.9296,31
3.105,52.9296,1,52.9296,31
3.111,52.9296,1,52.9296,31
3.116,65.2094,2,130.419,31
3.125,52.9296,1,52.9296,31
3.131,48.5704,2,97.1408,31
3.136,65.4008,1,65.4008,31
3.236,65.2496,3,195.749,31
3.245,52.9296,1,52.9296,31
3.251,48.9241,7,342.469,31
3.256,65.2496,3,195.749,31
3.349,52.9296,1,52.9296,31
3.355,51.94,21,1090.74,31
3.361,65.2496,3,195.749,31
3.449,52.9296,1,52.9296,31
3.454,65.2496,3,195.749,31
3.549,52.9296,1,52.9296,31
3.555,54.0064,100,5400.64,31
3.556,51.8114,16,828.982,31
3.563,65.2496,3,195.749,31
3.649,52.9296,1,52.9296,31
3.655,53.2359,45,2395.61,31
3.661,65.2496,3,195.749,31
3.749,52.9296,1,52.9296,31
3.755,53.4166,79,4219.91,31
3.76,65.2496,3,195.749,31
3.849,52.9296,1,52.9296,31
3.855,52.2849,26,1359.41,31
3.86,65.2496,3,195.749,31
3.949,52.9296,1,52.9296,31
3.955,51.4367,14,720.114,31
3.963,65.2496,3,195.749,31
4.049,33.0222,1,33.0222,31
4.055,34.0495,98,3336.85,31
4.056,34.0495,98,3336.85,31
4.057,34.0495,98,3336.85,31
4.058,34.0495,98,3336.85,31
4.059,33.5629,79,2651.47,31
4.064,59.7123,3,179.137,31
4.149,33.0222,1,33.0222,31
4.155,34.0991,100,3409.91,31
4.156,33.0222,1,33.0222,31
4.165,61.4452,3,184.336,31
4.249,33.0222,1,33.0222,31
4.255,34.0991,100,3409.91,31
4.256,34.0991,100,3409.91,31
4.257,34.0991,100,3409.91,31
4.258,32.595,37,1206.01,31
4.267,64.7144,3,194.143,31
4.349,33.0222,1,33.0222,31
4.355,34.0991,100,3409.91,31
4.356,34.0991,100,3409.91,31
4.357,34.0991,100,3409.91,31
4.358,34.0991,100,3409.91,31
4.359,33.6842,68,2290.52,31
4.364,64.7144,3,194.143,31
4.449,33.0222,1,33.0222,31
4.455,34.0991,100,3409.91,31
4.456,34.0991,100,3409.91,31
4.457,32.595,37,1206.01,31
4.464,64.7144,3,194.143,31
4.549,33.0222,1,33.0222,31
4.555,34.0991,100,3409.91,31
4.556,33.7688,85,2870.35,31
4.563,64.7144,3,194.143,31
