timestamp,sinr,usedRB,sumSinr,runNumber
3.006,22.6131,1,22.6131,5
3.011,28.6818,1,28.6818,5
3.02,22.6131,1,22.6131,5
3.105,22.6131,1,22.6131,5
3.111,22.6131,1,22.6131,5
3.116,34.938,2,69.876,5
3.125,22.6131,1,22.6131,5
3.131,23.9911,3,71.9734,5
3.136,28.6818,1,28.6818,5
3.236,38.2718,4,153.087,5
3.245,22.6131,1,22.6131,5
3.251,23.1629,77,1783.54,5
3.252,23.1629,77,1783.54,5
3.253,23.1629,77,1783.54,5
3.254,23.2515,74,1720.61,5
3.267,37.6752,3,113.026,5
3.349,22.6131,1,22.6131,5
3.355,23.1629,77,1783.54,5
3.356,22.6131,1,22.6131,5
3.363,37.6752,3,113.026,5
3.449,22.6131,1,22.6131,5
3.455,23.1629,77,1783.54,5
3.456,23.1629,77,1783.54,5
3.457,23.1629,77,1783.54,5
3.458,23.1629,77,1783.54,5
3.459,23.1629,77,1783.54,5
3.46,23.1629,77,1783.54,5
3.461,23.1629,77,1783.54,5
3.462,22.6131,1,22.6131,5
3.467,20.6412,77,1589.37,5
3.474,37.6752,3,113.026,5
3.549,22.6131,1,22.6131,5
3.555,23.1629,77,1783.54,5
3.556,23.1629,77,1783.54,5
3.557,23.1629,77,1783.54,5
3.558,24.5618,16,392.989,5
3.561,20.6412,77,1589.37,5
3.566,37.6752,3,113.026,5
3.649,22.6131,1,22.6131,5
3.655,23.1629,77,1783.54,5
3.656,23.1629,77,1783.54,5
3.657,23.1629,77,1783.54,5
3.658,23.1629,77,1783.54,5
3.659,23.1629,77,1783.54,5
3.66,23.1629,77,1783.54,5
3.661,23.1629,77,1783.54,5
3.662,22.6131,1,22.6131,5
3.667,20.6412,77,1589.37,5
3.673,20.6412,77,1589.37,5
3.678,37.6752,3,113.026,5
3.749,22.6131,1,22.6131,5
3.755,23.1629,77,1783.54,5
3.756,23.1629,77,1783.54,5
3.757,23.2726,61,1419.63,5
3.765,37.6752,3,113.026,5
3.849,22.6131,1,22.6131,5
3.855,23.1629,77,1783.54,5
3.856,23.1629,77,1783.54,5
3.857,23.1629,77,1783.54,5
3.858,23.1629,77,1783.54,5
3.859,23.1629,77,1783.54,5
3.86,23.1267,43,994.447,5
3.865,20.6412,77,1589.37,5
3.88,37.6752,3,113.026,5
3.949,22.6131,1,22.6131,5
3.955,23.1629,77,1783.54,5
3.956,23.1629,77,1783.54,5
3.957,23.1629,77,1783.54,5
3.958,23.1629,77,1783.54,5
3.959,23.1629,77,1783.54,5
3.96,23.2594,73,1697.93,5
3.961,20.6412,77,1589.37,5
3.967,37.6752,3,113.026,5
4.049,11.8297,1,11.8297,5
4.055,10.4759,70,733.316,5
4.056,10.4759,70,733.316,5
4.057,10.4759,70,733.316,5
4.058,10.4759,70,733.316,5
4.059,10.4759,70,733.316,5
4.06,10.4759,70,733.316,5
4.061,9.7605,70,683.235,5
4.062,9.7605,70,683.235,5
4.063,9.7605,70,683.235,5
4.064,9.7605,70,683.235,5
4.065,9.7605,70,683.235,5
4.066,9.7605,70,683.235,5
4.067,10.4759,70,733.316,5
4.068,10.4759,70,733.316,5
4.069,10.4759,70,733.316,5
4.07,10.4759,70,733.316,5
4.071,10.4759,70,733.316,5
4.072,10.4759,70,733.316,5
4.073,9.7605,70,683.235,5
4.074,9.7605,70,683.235,5
4.075,9.7605,70,683.235,5
4.076,9.7605,70,683.235,5
4.077,9.7605,70,683.235,5
4.078,9.7605,70,683.235,5
4.079,9.7605,70,683.235,5
4.08,9.7605,70,683.235,5
4.081,9.78564,35,342.497,5
4.087,10.1901,35,356.652,5
4.093,10.1901,35,356.652,5
4.098,29.6441,3,88.9322,5
4.149,11.8715,1,11.8715,5
4.155,12.7089,73,927.748,5
4.156,12.7089,73,927.748,5
4.157,12.7089,73,927.748,5
4.158,12.7089,73,927.748,5
