timestamp,sinr,usedRB,sumSinr,runNumber
3.006,22.6131,1,22.6131,8
3.011,36.9486,1,36.9486,8
3.02,22.6131,1,22.6131,8
3.105,22.6131,1,22.6131,8
3.111,22.6131,1,22.6131,8
3.116,35.0889,2,70.1779,8
3.125,22.6131,1,22.6131,8
3.131,23.9911,3,71.9734,8
3.136,36.9486,1,36.9486,8
3.236,34.5673,4,138.269,8
3.245,22.6131,1,22.6131,8
3.251,22.9537,116,2662.63,8
3.252,24.3756,10,243.756,8
3.263,35.4531,3,106.359,8
3.349,22.6131,1,22.6131,8
3.355,22.9537,116,2662.63,8
3.356,24.4315,23,561.925,8
3.366,35.4531,3,106.359,8
3.449,22.6131,1,22.6131,8
3.455,22.9537,116,2662.63,8
3.456,23.9948,11,263.943,8
3.462,35.4531,3,106.359,8
3.549,22.6131,1,22.6131,8
3.555,23.6192,31,732.196,8
3.563,35.4531,3,106.359,8
3.649,22.6131,1,22.6131,8
3.655,22.9786,96,2205.95,8
3.66,35.4531,3,106.359,8
3.749,22.6131,1,22.6131,8
3.755,23.1267,43,994.447,8
3.772,35.4531,3,106.359,8
3.849,22.6131,1,22.6131,8
3.855,24.1676,12,290.012,8
3.861,35.4531,3,106.359,8
3.949,22.6131,1,22.6131,8
3.955,22.9537,116,2662.63,8
3.956,24.5539,14,343.754,8
3.963,35.4531,3,106.359,8
4.049,7.7576,1,7.7576,8
4.055,6.04919,97,586.772,8
4.056,6.04919,97,586.772,8
4.057,6.04919,97,586.772,8
4.058,6.04919,97,586.772,8
4.059,6.04919,97,586.772,8
4.06,6.04919,97,586.772,8
4.061,6.12286,97,593.917,8
4.062,6.12286,97,593.917,8
4.063,6.12286,97,593.917,8
4.064,6.12286,97,593.917,8
4.065,6.12286,97,593.917,8
4.066,6.12286,97,593.917,8
4.067,6.04919,97,586.772,8
4.068,6.12286,97,593.917,8
4.069,6.12286,97,593.917,8
4.07,6.04919,97,586.772,8
4.071,6.04919,97,586.772,8
4.072,6.12286,97,593.917,8
4.073,6.12286,97,593.917,8
4.074,6.04919,97,586.772,8
4.075,5.9833,49,293.182,8
4.076,6.12286,97,593.917,8
4.077,6.12286,97,593.917,8
4.079,6.12286,97,593.917,8
4.08,6.12286,97,593.917,8
4.081,5.16019,49,252.849,8
4.082,6.12286,97,593.917,8
4.097,35.7172,3,107.152,8
4.149,7.7576,1,7.7576,8
4.155,8.55682,106,907.023,8
4.156,8.91295,62,552.603,8
4.161,5.7626,106,610.835,8
4.167,36.5185,3,109.556,8
4.249,7.7576,1,7.7576,8
4.255,8.55682,106,907.023,8
4.256,8.55682,106,907.023,8
4.257,8.55682,106,907.023,8
4.258,8.55682,106,907.023,8
4.259,8.55682,106,907.023,8
4.26,8.55682,106,907.023,8
4.261,5.7626,106,610.835,8
4.262,8.55682,106,907.023,8
4.263,8.55682,106,907.023,8
4.264,5.7626,106,610.835,8
4.265,5.7626,106,610.835,8
4.266,5.7626,106,610.835,8
4.267,8.55682,106,907.023,8
4.268,8.55682,106,907.023,8
4.269,5.7626,106,610.835,8
4.27,8.55682,106,907.023,8
4.271,8.93833,66,589.93,8
4.274,5.7626,106,610.835,8
4.281,37.396,3,112.188,8
4.349,7.7576,1,7.7576,8
4.355,8.55682,106,907.023,8
4.356,8.55682,106,907.023,8
4.357,8.55682,106,907.023,8
4.358,9.17439,42,385.325,8
4.363,37.396,3,112.188,8
4.449,7.7576,1,7.7576,8
4.455,8.55682,106,907.023,8
4.456,8.55682,106,907.023,8
4.457,8.55682,106,907.023,8
4.458,9.22045,48,442.582,8
4.463,5.7626,106,610.835,8
4.47,37.396,3,112.188,8
4.549,7.7576,1,7.7576,8
4.555,8.55682,106,907.023,8
4.556,8.55682,106,907.023,8
4.557,8.55682,106,907.023,8
4.558,8.55682,106,907.023,8
4.559,8.55682,106,907.023,8
4.56,8.55682,106,907.023,8
4.561,8.55682,106,907.023,8
4.562,8.55682,106,907.023,8
4.563,8.55682,106,907.023,8
4.564,5.7626,106,610.835,8
4.565,5.7626,106,610.835,8
4.566,5.7626,106,610.835,8
4.567,5.7626,106,610.835,8
4.568,8.55682,106,907.023,8
4.569,5.7626,106,610.835,8
4.57,8.55682,106,907.023,8
4.571,8.93833,66,589.93,8
4.577,37.396,3,112.188,8
4.649,7.7576,1,7.7576,8
4.655,8.55682,106,907.023,8
4.656,8.55682,106,907.023,8
4.657,8.55682,106,907.023,8
4.658,8.55682,106,907.023,8
4.659,8.55682,106,907.023,8
4.66,8.55682,106,907.023,8
4.661,5.7626,106,610.835,8
4.662,8.55682,106,907.023,8
4.663,9.65634,19,183.471,8
4.668,5.7626,106,610.835,8
4.674,5.7626,106,610.835,8
4.682,37.396,3,112.188,8
4.749,7.7576,1,7.7576,8
4.755,8.55682,106,907.023,8
4.756,8.70409,78,678.919,8
4.761,5.7626,106,610.835,8
4.762,5.85484,78,456.678,8
4.775,37.396,3,112.188,8
4.849,7.7576,1,7.7576,8
4.855,8.55682,106,907.023,8
4.856,8.55682,106,907.023,8
4.857,8.55682,106,907.023,8
4.858,8.55682,106,907.023,8
4.859,8.55682,106,907.023,8
4.86,8.55682,106,907.023,8
4.861,8.55682,106,907.023,8
4.862,5.7626,106,610.835,8
4.863,5.7626,106,610.835,8
4.864,8.55682,106,907.023,8
4.865,8.55682,106,907.023,8
4.866,8.55682,106,907.023,8
4.867,8.55682,106,907.023,8
4.868,8.93833,66,589.93,8
4.873,5.7626,106,610.835,8
4.879,37.396,3,112.188,8
4.949,7.7576,1,7.7576,8
4.955,8.55682,106,907.023,8
4.956,8.55682,106,907.023,8
4.957,8.55682,106,907.023,8
4.958,8.55682,106,907.023,8
4.959,8.55682,106,907.023,8
4.96,8.55682,106,907.023,8
4.961,5.7626,106,610.835,8
4.962,8.56699,104,890.967,8
4.964,5.7626,106,610.835,8
4.965,5.7626,106,610.835,8
4.966,5.7626,106,610.835,8
4.967,5.7626,106,610.835,8
4.971,5.7626,106,610.835,8
4.978,37.396,3,112.188,8
5.049,18.1176,1,18.1176,8
5.055,16.279,110,1790.69,8
5.056,16.279,110,1790.69,8
5.057,16.279,110,1790.69,8
5.058,16.279,110,1790.69,8
5.059,16.279,110,1790.69,8
5.06,16.202,108,1749.82,8
5.061,16.2176,110,1783.94,8
5.062,16.2176,110,1783.94,8
5.063,16.2176,110,1783.94,8
5.064,16.2176,110,1783.94,8
5.065,16.2176,110,1783.94,8
5.066,16.1204,108,1741,8
5.069,16.2176,110,1783.94,8
5.083,31.0447,3,93.134,8
5.149,18.1176,1,18.1176,8
5.155,18.4103,117,2154,8
5.156,19.7667,6,118.6,8
5.161,23.5384,3,70.6151,8
5.249,18.1176,1,18.1176,8
5.255,18.4103,117,2154,8
5.256,18.4103,117,2154,8
5.257,18.4103,117,2154,8
5.258,18.4103,117,2154,8
5.259,18.4103,117,2154,8
5.26,18.7638,73,1369.76,8
5.268,28.1613,3,84.484,8
5.349,18.1176,1,18.1176,8
5.355,18.4103,117,2154,8
5.356,18.4103,117,2154,8
5.357,18.4103,117,2154,8
5.358,19.4956,3,58.4868,8
5.362,15.9714,117,1868.65,8
5.38,28.1613,3,84.484,8
5.449,18.1176,1,18.1176,8
5.455,18.4103,117,2154,8
5.456,18.4103,117,2154,8
5.457,18.4103,117,2154,8
5.458,18.4103,117,2154,8
5.459,18.4103,117,2154,8
5.46,18.7638,73,1369.76,8
5.465,28.1613,3,84.484,8
5.549,18.1176,1,18.1176,8
5.555,19.324,29,560.395,8
5.562,28.1613,3,84.484,8
5.649,18.1176,1,18.1176,8
5.655,18.4103,117,2154,8
5.656,18.927,54,1022.06,8
5.661,28.1613,3,84.484,8
