timestamp,arrivalTime,ueAppAddress,ueAppPort,car,recv_packet_size(B),uplink_delay(s),Queueing_delay(s),processing_delay(s),idframe,nbSentMsg,runNumber,sizeOfQueue
3.2570042364,3.2570042364,10.0.1.106,4000,car[0],21200,0.0030016676,0,0.00605109,1,0,36,1
3.3610056876,3.3610056876,10.0.1.106,4000,car[0],22951,0.0030031188,0,0.000294911,2,1,36,1
3.4670078812,3.4670078812,10.0.1.106,4000,car[0],65527,0.0090053124,0,0.0035568,3,2,36,1
3.5670078812,3.5670078812,10.0.1.106,4000,car[0],65527,0.0090053124,0,0.000215084,4,3,36,1
3.6670032004,3.6670032004,10.0.1.106,4000,car[0],60412,0.0090006316,0,0.000204549,5,4,36,1
3.758002214,3.758002214,10.0.1.106,4000,car[0],801,0.0000007188,0,0.000853812,6,5,36,1
3.8670078812,3.8670078812,10.0.1.106,4000,car[0],65527,0.0090053124,0,0.00175431,7,6,36,1
3.959003102,3.959003102,10.0.1.106,4000,car[0],7091,0.0010005332,0,2.39112e-05,8,7,36,1
4.0700079804,4.0700079804,10.0.1.106,4000,car[0],6451,0.0000054116,0,0.000353638,9,8,36,1
4.1670068508,4.1670068508,10.0.1.106,4000,car[0],50982,0.009004282,0,0.00150193,10,9,36,1
4.2690061628,4.2690061628,10.0.1.106,4000,car[0],56105,0.011003594,0,0.00443628,11,10,36,1
4.3730059564,4.3730059564,10.0.1.106,4000,car[0],49927,0.0150033876,0,0.000397221,12,11,36,1
4.4740399756,4.4740399756,10.0.1.106,4000,car[0],65527,0.0160374068,0,0.00124504,13,12,36,1
4.5600048916,4.5600048916,10.0.1.106,4000,car[0],13139,0.0020023228,0,0.000689933,14,13,36,1
4.6680059948,4.6680059948,10.0.1.106,4000,car[0],55895,0.010003426,0,0.00156299,15,14,36,1
4.7710054124,4.7710054124,10.0.1.106,4000,car[0],65527,0.0130028436,0,0.000447743,16,15,36,1
4.8630058156,4.8630058156,10.0.1.106,4000,car[0],29031,0.0050032468,0,0.000590233,17,16,36,1
4.96200575,4.96200575,10.0.1.106,4000,car[0],24509,0.0040031812,0,0.000371775,18,17,36,1
5.0580013596,5.0580013596,10.0.1.106,4000,car[0],445,0.000000434,0,0.00440276,19,18,36,1
5.163007666,5.163007666,10.0.1.106,4000,car[0],35658,0.0050050972,0,0.00292963,20,19,36,1
5.2600013236,5.2600013236,10.0.1.106,4000,car[0],12270,0.0019987548,0,0.00502001,21,20,36,1
5.360006878,5.360006878,10.0.1.106,4000,car[0],16976,0.0020043092,0,0.000597729,22,21,36,1
5.4720154164,5.4720154164,10.0.1.106,4000,car[0],62728,0.0140128476,0,0.000412292,23,22,36,1
5.5620077188,5.5620077188,10.0.1.106,4000,car[0],29804,0.00400515,0,0.00376405,24,23,36,1
5.658006694,5.658006694,10.0.1.106,4000,car[0],4906,0.0000041252,0,4.45442e-05,25,24,36,1
5.7650038708,5.7650038708,10.0.1.106,4000,car[0],42943,0.007001302,0,0.00204484,26,25,36,1
5.8680078812,5.8680078812,10.0.1.106,4000,car[0],65527,0.0100053124,0,0.000420389,27,26,36,1
5.9690078812,5.9690078812,10.0.1.106,4000,car[0],65527,0.0110053124,0,0.0047232,28,27,36,1
6.0950078972,6.0950078972,10.0.1.106,4000,car[0],56667,0.0310053284,0,0.00207614,29,28,36,1
6.15900441,6.15900441,10.0.1.106,4000,car[0],6617,0.0010018412,0,0.00387464,30,29,36,1
6.2590014748,6.2590014748,10.0.1.106,4000,car[0],4933,0.000998906,0,0.000816877,31,30,36,1
6.3700063676,6.3700063676,10.0.1.106,4000,car[0],57778,0.0120037988,0,0.00120309,32,31,36,1
6.4720054124,6.4720054124,10.0.1.106,4000,car[0],65527,0.0140028436,0,0.000779454,33,32,36,1
6.5720054124,6.5720054124,10.0.1.106,4000,car[0],65527,0.0140028436,0,0.00218407,34,33,36,1
6.666006106,6.666006106,10.0.1.106,4000,car[0],39754,0.0080035372,0,0.0016872,35,34,36,1
6.7610048516,6.7610048516,10.0.1.106,4000,car[0],16049,0.0030022828,0,0.00145741,36,35,36,1
6.859005726,6.859005726,10.0.1.106,4000,car[0],8199,0.0010031572,0,0.000642823,37,36,36,1
6.9720054124,6.9720054124,10.0.1.106,4000,car[0],65527,0.0140028436,0,0.0010344,38,37,36,1
7.0680073764,7.0680073764,10.0.1.106,4000,car[0],30919,0.0040048076,0,3.31296e-05,39,38,36,1
7.1680012684,7.1680012684,10.0.1.106,4000,car[0],65527,0.0099986996,0,0.00154609,40,39,36,1
7.2660052004,7.2660052004,10.0.1.106,4000,car[0],54902,0.0080026316,0,0.00062689,41,40,36,1
7.3580058148,7.3580058148,10.0.1.106,4000,car[0],3870,0.000003246,0,0.00272269,42,41,36,1
7.4670045716,7.4670045716,10.0.1.106,4000,car[0],60099,0.0090020028,0,0.00124656,43,42,36,1
7.5680012684,7.5680012684,10.0.1.106,4000,car[0],65527,0.0099986996,0,0.00198837,44,43,36,1
7.663006206,7.663006206,10.0.1.106,4000,car[0],36919,0.0050036372,0,3.18334e-05,45,44,36,1
7.7580032556,7.7580032556,10.0.1.106,4000,car[0],1235,0.000001066,0,0.000266593,46,45,36,1
7.8590053604,7.8590053604,10.0.1.106,4000,car[0],9222,0.0010027916,0,0.000130007,47,46,36,1
7.9580059092,7.9580059092,10.0.1.106,4000,car[0],3988,0.0000033404,0,3.32053e-05,48,47,36,1
8.0730078812,8.0730078812,10.0.1.106,4000,car[0],65527,0.0150053124,0,1.30702e-05,49,48,36,1
8.1580025092,8.1580025092,10.0.1.106,4000,car[0],924,0.0000008172,0,0.00107352,50,49,36,1
8.2590084644,8.2590084644,10.0.1.106,4000,car[0],12976,0.0010058956,0,0.00470795,51,50,36,1
8.359005778,8.359005778,10.0.1.106,4000,car[0],9744,0.0010032092,0,0.00180764,52,51,36,1
8.4580014028,8.4580014028,10.0.1.106,4000,car[0],463,0.0000004484,0,0.000201485,53,52,36,1
