timestamp,ueAppAddress,ueAppPort,car,packet_size_to_send(B),payload_size_to_send(B),runNumber
3.256737971845,10.0.1.106,4000,car[0],6607,313,44
3.363711437644,10.0.1.106,4000,car[0],59942,313,44
3.466824645767,10.0.1.106,4000,car[0],27051,313,44
3.563268658665,10.0.1.106,4000,car[0],23988,313,44
3.659869232691,10.0.1.106,4000,car[0],3648,313,44
3.765877760689,10.0.1.106,4000,car[0],30349,313,44
3.862699333421,10.0.1.106,4000,car[0],65527,313,44
3.959111686192,10.0.1.106,4000,car[0],17749,313,44
4.065047844275,10.0.1.106,4000,car[0],4867,313,44
4.158797832398,10.0.1.106,4000,car[0],3718,313,44
4.25910107341,10.0.1.106,4000,car[0],6705,313,44
4.360736872135,10.0.1.106,4000,car[0],33525,313,44
4.461511551795,10.0.1.106,4000,car[0],48167,313,44
4.560667168848,10.0.1.106,4000,car[0],14455,313,44
4.661051700078,10.0.1.106,4000,car[0],33140,313,44
4.760269095678,10.0.1.106,4000,car[0],29762,313,44
4.860115814516,10.0.1.106,4000,car[0],45607,313,44
4.962393302178,10.0.1.106,4000,car[0],65527,313,44
5.070564188476,10.0.1.106,4000,car[0],31763,313,44
5.160296300347,10.0.1.106,4000,car[0],24708,313,44
5.25941567171,10.0.1.106,4000,car[0],26487,313,44
5.360496657666,10.0.1.106,4000,car[0],48514,313,44
5.4597734512,10.0.1.106,4000,car[0],3843,313,44
5.55867520754,10.0.1.106,4000,car[0],4204,313,44
5.659038794882,10.0.1.106,4000,car[0],35023,313,44
5.762530532864,10.0.1.106,4000,car[0],15179,313,44
5.861787828359,10.0.1.106,4000,car[0],62860,313,44
5.959594779228,10.0.1.106,4000,car[0],32352,313,44
6.079647478408,10.0.1.106,4000,car[0],65527,313,44
6.159125557197,10.0.1.106,4000,car[0],273,313,44
6.259059874701,10.0.1.106,4000,car[0],482,313,44
6.362145898619,10.0.1.106,4000,car[0],47857,313,44
6.46603634385,10.0.1.106,4000,car[0],63489,313,44
6.563403037317,10.0.1.106,4000,car[0],27065,313,44
6.661005124873,10.0.1.106,4000,car[0],15553,313,44
6.761305988815,10.0.1.106,4000,car[0],36995,313,44
6.860222351315,10.0.1.106,4000,car[0],17646,313,44
6.974310789272,10.0.1.106,4000,car[0],65527,313,44
7.072946546298,10.0.1.106,4000,car[0],65527,313,44
7.160618151756,10.0.1.106,4000,car[0],12108,313,44
7.258035007651,10.0.1.106,4000,car[0],10818,313,44
7.366289403507,10.0.1.106,4000,car[0],40815,313,44
7.461598337073,10.0.1.106,4000,car[0],49599,313,44
7.559596433179,10.0.1.106,4000,car[0],1662,313,44
7.664771257847,10.0.1.106,4000,car[0],65527,313,44
7.762324485174,10.0.1.106,4000,car[0],58757,313,44
7.867753805977,10.0.1.106,4000,car[0],572,313,44
7.961701402331,10.0.1.106,4000,car[0],41686,313,44
8.069498171852,10.0.1.106,4000,car[0],65527,313,44
8.16253157965,10.0.1.106,4000,car[0],20910,313,44
8.260153511415,10.0.1.106,4000,car[0],36004,313,44
8.358924830749,10.0.1.106,4000,car[0],8828,313,44
8.463249598445,10.0.1.106,4000,car[0],65527,313,44
8.561376667148,10.0.1.106,4000,car[0],29889,313,44
8.659730845757,10.0.1.106,4000,car[0],2970,313,44
8.759519033863,10.0.1.106,4000,car[0],12257,313,44
8.861327190013,10.0.1.106,4000,car[0],48194,313,44
8.966057961453,10.0.1.106,4000,car[0],65527,313,44
9.067184352974,10.0.1.106,4000,car[0],34578,313,44
9.164164796556,10.0.1.106,4000,car[0],24718,313,44
9.266652106802,10.0.1.106,4000,car[0],65527,313,44
9.362614031951,10.0.1.106,4000,car[0],20338,313,44
9.463286173334,10.0.1.106,4000,car[0],12924,313,44
9.561587210639,10.0.1.106,4000,car[0],28871,313,44
