timestamp,arrivalTime,ueAppAddress,ueAppPort,car,recv_packet_size(B),uplink_delay(s),Queueing_delay(s),processing_delay(s),idframe,nbSentMsg,runNumber,sizeOfQueue
3.2610012684,3.2610012684,10.0.1.106,4000,car[0],65527,0.0069986996,0,0.000500477,1,0,23,1
3.3740263972,3.3740263972,10.0.1.106,4000,car[0],65527,0.0160238284,0,0.00285679,2,1,23,1
3.4590080988,3.4590080988,10.0.1.106,4000,car[0],15479,0.00100553,0,0.00376883,3,2,23,1
3.5610096676,3.5610096676,10.0.1.106,4000,car[0],36617,0.0030070988,0,0.00177245,4,3,23,1
3.666010754,3.666010754,10.0.1.106,4000,car[0],27552,0.0080081852,0,0.00249077,5,4,23,1
3.7640095236,3.7640095236,10.0.1.106,4000,car[0],8317,0.0000069548,0,0.00276482,6,5,23,1
3.8600053076,3.8600053076,10.0.1.106,4000,car[0],20996,0.0020027388,0,0.00414979,7,6,23,1
3.9630074604,3.9630074604,10.0.1.106,4000,car[0],51744,0.0050048916,0,0.00203837,8,7,23,1
4.0640029844,4.0640029844,10.0.1.106,4000,car[0],1122,0.0000009756,0,0.00249462,9,8,23,1
4.1590057092,4.1590057092,10.0.1.106,4000,car[0],12618,0.0010031404,0,0.000490947,10,9,23,1
4.2670088548,4.2670088548,10.0.1.106,4000,car[0],37081,0.009006286,0,0.00263536,11,10,23,1
4.3680239284,4.3680239284,10.0.1.106,4000,car[0],65527,0.0040213596,0,0.0020546,12,11,23,1
4.4600104516,4.4600104516,10.0.1.106,4000,car[0],28654,0.0020078828,0,0.00209719,13,12,23,1
4.5580040164,4.5580040164,10.0.1.106,4000,car[0],1685,0.0000014476,0,0.00297142,14,13,23,1
4.6590081444,4.6590081444,10.0.1.106,4000,car[0],15536,0.0010055756,0,0.00599159,15,14,23,1
4.7630066244,4.7630066244,10.0.1.106,4000,car[0],55139,0.0050040556,0,1.35323e-06,16,15,23,1
4.8580030756,4.8580030756,10.0.1.106,4000,car[0],1160,0.000001006,0,0.000209216,17,16,23,1
4.9580067764,4.9580067764,10.0.1.106,4000,car[0],5009,0.0000042076,0,0.000472112,18,17,23,1
5.0580039044,5.0580039044,10.0.1.106,4000,car[0],1545,0.0000013356,0,0.00110705,19,18,23,1
5.1610078076,5.1610078076,10.0.1.106,4000,car[0],46195,0.0030052388,0,0.00784277,20,19,23,1
5.2620128188,5.2620128188,10.0.1.106,4000,car[0],65527,0.00401025,0,0.000584253,21,20,23,1
5.359013834,5.359013834,10.0.1.106,4000,car[0],26773,0.0010112652,0,0.00611588,22,21,23,1
5.4590128396,5.4590128396,10.0.1.106,4000,car[0],25593,0.0010102708,0,0.00458435,23,22,23,1
5.5580089716,5.5580089716,10.0.1.106,4000,car[0],7627,0.0000064028,0,0.000677114,24,23,23,1
5.6590068404,5.6590068404,10.0.1.106,4000,car[0],18409,0.0010042716,0,0.00282565,25,24,23,1
5.7580079844,5.7580079844,10.0.1.106,4000,car[0],6456,0.0000054156,0,0.00169404,26,25,23,1
5.8580010044,5.8580010044,10.0.1.106,4000,car[0],297,0.0000003156,0,0.000969465,27,26,23,1
5.9580035172,5.9580035172,10.0.1.106,4000,car[0],1344,0.0000011532,0,0.00961026,28,27,23,1
6.070008698,6.070008698,10.0.1.106,4000,car[0],7348,0.0000061292,0,0.00234539,29,28,23,1
6.1620123596,6.1620123596,10.0.1.106,4000,car[0],59096,0.0040097908,0,0.00580275,30,29,23,1
6.2630078812,6.2630078812,10.0.1.106,4000,car[0],65527,0.0050053124,0,0.00163418,31,30,23,1
6.3620123932,6.3620123932,10.0.1.106,4000,car[0],59138,0.0040098244,0,0.000253454,32,31,23,1
6.4590095508,6.4590095508,10.0.1.106,4000,car[0],20191,0.001006982,0,4.9725e-05,33,32,23,1
6.5600109796,6.5600109796,10.0.1.106,4000,car[0],33754,0.0020084108,0,0.00727451,34,33,23,1
6.6580124004,6.6580124004,10.0.1.106,4000,car[0],11787,0.0000098316,0,0.000711266,35,34,23,1
6.761005098,6.761005098,10.0.1.106,4000,car[0],38494,0.0030025292,0,0.000260583,36,35,23,1
6.8580096332,6.8580096332,10.0.1.106,4000,car[0],8454,0.0000070644,0,0.00102142,37,36,23,1
6.9580100676,6.9580100676,10.0.1.106,4000,car[0],8934,0.0000074988,0,0.000260273,38,37,23,1
7.064007086,7.064007086,10.0.1.106,4000,car[0],5396,0.0000045172,0,0.00345269,39,38,23,1
7.1640166884,7.1640166884,10.0.1.106,4000,car[0],16895,0.0000141196,0,0.00121436,40,39,23,1
7.2620055132,7.2620055132,10.0.1.106,4000,car[0],25693,0.0040029444,0,0.00332776,41,40,23,1
7.3640083748,7.3640083748,10.0.1.106,4000,car[0],6944,0.000005806,0,0.00649508,42,41,23,1
7.461004738,7.461004738,10.0.1.106,4000,car[0],18867,0.0030021692,0,0.00409654,43,42,23,1
7.5640106172,7.5640106172,10.0.1.106,4000,car[0],9621,0.0000080484,0,0.00196501,44,43,23,1
7.6590063356,7.6590063356,10.0.1.106,4000,car[0],8898,0.0010037668,0,0.00219975,45,44,23,1
7.7790066468,7.7790066468,10.0.1.106,4000,car[0],65527,0.015004078,0,0.00163454,46,45,23,1
7.8730238204,7.8730238204,10.0.1.106,4000,car[0],41712,0.0150212516,0,0.00462652,47,46,23,1
7.9790251628,7.9790251628,10.0.1.106,4000,car[0],65527,0.015022594,0,0.00336957,48,47,23,1
8.0640096212,8.0640096212,10.0.1.106,4000,car[0],8439,0.0000070524,0,0.00843678,49,48,23,1
8.1580053228,8.1580053228,10.0.1.106,4000,car[0],3255,0.000002754,0,0.0030188,50,49,23,1
8.2600068492,8.2600068492,10.0.1.106,4000,car[0],24340,0.0020042804,0,0.00190058,51,50,23,1
8.3620083828,8.3620083828,10.0.1.106,4000,car[0],46914,0.004005814,0,0.00193799,52,51,23,1
8.45800433,8.45800433,10.0.1.106,4000,car[0],2077,0.0000017612,0,0.00212105,53,52,23,1
8.5590077724,8.5590077724,10.0.1.106,4000,car[0],15071,0.0010052036,0,0.00180246,54,53,23,1
8.6700115228,8.6700115228,10.0.1.106,4000,car[0],10690,0.000008954,0,0.00189864,55,54,23,1
8.7580019812,8.7580019812,10.0.1.106,4000,car[0],704,0.0000006412,0,0.00331834,56,55,23,1
8.8600075628,8.8600075628,10.0.1.106,4000,car[0],25169,0.002004994,0,0.00631374,57,56,23,1
8.9580052076,8.9580052076,10.0.1.106,4000,car[0],3111,0.0000026388,0,0.00345208,58,57,23,1
9.0720218068,9.0720218068,10.0.1.106,4000,car[0],39321,0.008019238,0,0.00094853,59,58,23,1
9.1580057676,9.1580057676,10.0.1.106,4000,car[0],3811,0.0000031988,0,0.00682518,60,59,23,1
9.2590057428,9.2590057428,10.0.1.106,4000,car[0],11180,0.001003174,0,0.00168398,61,60,23,1
9.3640086804,9.3640086804,10.0.1.106,4000,car[0],57646,0.0060061116,0,0.00364174,62,61,23,1
9.4650091156,9.4650091156,10.0.1.106,4000,car[0],65527,0.0070065468,0,0.00860415,63,62,23,1
9.5610068604,9.5610068604,10.0.1.106,4000,car[0],30274,0.0030042916,0,0.000881974,64,63,23,1
9.6650091156,9.6650091156,10.0.1.106,4000,car[0],65527,0.0070065468,0,0.000915464,65,64,23,1
9.7590037356,9.7590037356,10.0.1.106,4000,car[0],8835,0.0010011668,0,8.9219e-05,66,65,23,1
9.8620046012,9.8620046012,10.0.1.106,4000,car[0],34976,0.0040020324,0,0.00293243,67,66,23,1
9.9590067844,9.9590067844,10.0.1.106,4000,car[0],12419,0.0010042156,0,0.000121539,68,67,23,1
10.07401631,10.07401631,10.0.1.106,4000,car[0],48982,0.0100137412,0,0.00118649,69,68,23,1
10.1670182236,10.1670182236,10.0.1.106,4000,car[0],43911,0.0090156548,0,0.00499262,70,69,23,1
10.2600051188,10.2600051188,10.0.1.106,4000,car[0],19280,0.00200255,0,0.00711174,71,70,23,1
10.363003522,10.363003522,10.0.1.106,4000,car[0],42786,0.0050009532,0,0.00246491,72,71,23,1
10.4580090284,10.4580090284,10.0.1.106,4000,car[0],7698,0.0000064596,0,4.34145e-05,73,72,23,1
10.5600060196,10.5600060196,10.0.1.106,4000,car[0],20406,0.0020034508,0,0.00263368,74,73,23,1
10.6740301004,10.6740301004,10.0.1.106,4000,car[0],65527,0.0160275316,0,0.00207692,75,74,23,1
10.7590062388,10.7590062388,10.0.1.106,4000,car[0],11798,0.00100367,0,0.00358605,76,75,23,1
10.8600070156,10.8600070156,10.0.1.106,4000,car[0],21588,0.0020044468,0,0.00124222,77,76,23,1
10.958007082,10.958007082,10.0.1.106,4000,car[0],5391,0.0000045132,0,0.00806192,78,77,23,1
11.0640059964,11.0640059964,10.0.1.106,4000,car[0],4097,0.0000034276,0,0.000410331,79,78,23,1
11.1720078812,11.1720078812,10.0.1.106,4000,car[0],65527,0.0140053124,0,0.000368143,80,79,23,1
11.2700202252,11.2700202252,10.0.1.106,4000,car[0],65527,0.0120176564,0,0.0045276,81,80,23,1
11.3650112764,11.3650112764,10.0.1.106,4000,car[0],17782,0.0070087076,0,0.000803543,82,81,23,1
11.4660078812,11.4660078812,10.0.1.106,4000,car[0],65527,0.0080053124,0,0.000779019,83,82,23,1
11.565005274,11.565005274,10.0.1.106,4000,car[0],54994,0.0070027052,0,0.00244336,84,83,23,1
11.6660078812,11.6660078812,10.0.1.106,4000,car[0],65527,0.0080053124,0,0.00359225,85,84,23,1
11.7620036756,11.7620036756,10.0.1.106,4000,car[0],31010,0.0040011068,0,0.00619468,86,85,23,1
11.8710140532,11.8710140532,10.0.1.106,4000,car[0],65527,0.0130114844,0,0.00353815,87,86,23,1
11.9590088668,11.9590088668,10.0.1.106,4000,car[0],14896,0.001006298,0,0.00896554,88,87,23,1
12.0820214596,12.0820214596,10.0.1.106,4000,car[0],65527,0.0180188908,0,0.00807369,89,88,23,1
12.1610046244,12.1610046244,10.0.1.106,4000,car[0],23165,0.0030020556,0,0.000153248,90,89,23,1
